first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Dino,Salihovic,0,0,3,131,7,0,0,0,0.2,46,DEF
Ishaq,Abdulrazak,0,4,109,2626,38,5,0,2,3.3,54,MID
Jonathan,Levi,2,7,112,1969,31,5,0,2,5.2,85,MID
Kristoffer,Khazeni,1,2,40,888,10,1,0,2,0.6,44,MID
Maic,Sema,2,1,44,619,12,1,0,0,0.4,57,MID
Alexander,Fransson,0,0,91,2659,40,5,0,1,2.4,62,MID
Isak,Bergmann Johannesson,2,4,66,1302,13,5,0,3,3.6,80,MID
Manasse,Kusu,0,0,2,24,0,0,0,1,0.1,43,MID
Sead,Haksabanovic,0,4,37,630,6,2,0,1,8.4,116,MID
Jóhannes Kristinn,Bjarnason,0,0,1,4,0,0,0,0,0.2,43,MID
Christoffer,Nyman,5,0,48,868,13,1,0,1,3.9,98,FWD
Carl,Björk,7,3,94,1731,25,4,0,1,2.1,50,FWD
Lucas,Lima,1,0,10,101,2,0,0,1,0.9,39,FWD
Samuel,Adegbenro,17,2,154,2325,33,5,0,3,39.7,86,FWD
Marco,Lund,0,0,77,2007,27,4,0,7,0.6,53,DEF
Ari Freyr,Skulason,2,2,64,1561,27,2,0,3,2.8,59,DEF
Yahav,Gurfinkel,0,0,6,104,2,0,0,0,0.0,48,MID
Edvin,Tellgren,0,0,1,1,0,0,0,0,0.0,40,DEF
Emanuel,Chabo,0,0,1,20,0,0,0,0,0.0,45,MID
Lucas,Hägg Johansson,0,0,125,2340,33,8,0,3,7.7,56,GK
Tobias,Andersson,0,0,16,360,6,1,0,0,0.3,44,GK
Henrik,Löfkvist,0,0,7,218,4,0,0,1,0.2,47,DEF
Emin,Nouri,0,0,4,90,2,0,0,4,0.9,42,DEF
Douglas,Bergqvist,1,0,60,1266,20,5,0,2,1.3,46,DEF
Sebastian,Ring,3,2,122,2450,36,9,0,9,12.2,58,DEF
Johan,Stenmark,1,0,34,732,17,2,0,2,11.5,38,DEF
Piotr,Johansson,0,6,119,2529,34,10,0,2,7.8,52,DEF
